,tittle,reviwCount,price,margin,ActualPrice,Store,stars,socialProofing,msg,offers,allVarinet,Alldescription,OS,Product Dimensions,Item model number,Connectivity technologies,GPS,Special features,Other display features,Device interface - primary,Resolution,Other camera features,Form factor,Colour,Battery Power Rating,Whats in the box,Manufacturer,Country of Origin,Item Weight,ASIN,Customer Reviews,Best Sellers Rank,Date First Available,Packer,Importer,Item Dimensions LxWxH,Net Quantity,Generic Name,Brand,Operating System,RAM Memory Installed Size,CPU Model,CPU Speed,RAM,Batteries,Wireless communication technologies,Audio Jack,Phone Talk Time,Memory Storage Capacity
20,"Samsung Galaxy S24 Ultra 5G AI Smartphone with Galaxy AI (Titanium Gray, 12GB, 256GB Storage), Snapdragon 8 Gen 3, 200 MP Camera with ProVisual Engine and 5000mAh Battery","2,971 ratings","₹79,999",-41%,"₹1,34,999",Visit the Samsung Store,4.4,5K+ bought in past month,Inclusive of all taxes,"No Cost EMI
Upto ₹8,032.51 EMI interest savings on select Credit Cards…
2 offers
Cashback
Upto ₹2,399.00 cashback as Amazon Pay Balance when…
1 offer
Partner Offers
Get GST invoice and save up to 28% on business purchases.
1 offer","12GB + 256GB
₹79,999.00
₹1,34,999.00
12GB + 512GB
See available options","['Galaxy AI - Welcome to the era of mobile AI. With Galaxy S24 Ultra and One UI in your hands, you can unleash completely new levels of creativity, productivity and possibility.', 'Titanium Frame - Meet Galaxy S24 Ultra, the ultimate form of Galaxy Ultra built with a new titanium exterior and a 17.25cm flat display. It is an absolute marvel of design.', 'Epic Camera - With the most megapixels on a Galaxy smartphone ever (200MP) and AI processing, Galaxy S24 Ultra sets the industry standard for image quality every time you hit the shutter. Also, the new ProVisual engine recognizes objects, improves color tone, reduces noise and brings out every detail.', 'Powerful Processor - Victory can be yours with the new Snapdragon 8 Gen 3 for Galaxy that gives you the power you need for all the gameplay you want. backed by an intelligent battery that keep you going longer. Also, you get to manifest graphic effects in real time with ray tracing for hyper-realistic shadows and reflections.', 'Built-in S Pen and Security - Experience seamless control and creativity, as the S Pen transforms your device into a versatile tool for productivity and artistry. While Knox protection and Samsung Wallet keep your data and payments safe.']",Android 14,0.9 x 7.9 x 16.2 cm; 232 g,S928BZ,"Bluetooth, NFC, USB, Wi-Fi",True,"Always On Display, Built-In GPS, Dual SIM, Fast Charging Support, Mobile Hotspot Capability",Wireless,Touchscreen with Stylus Support,3120 x 1440,"Front, Rear",Bar,grey,5000 Milliamp Hours,"Data Cable (Type C-to-C), Quick Start Guide, SIM Tray Ejector, Smartphone, Stylus","Samsung, Samsung India Electronics Pvt. Ltd., 6th Floor, DLF Centre, Sansad Marg, New Delhi – 110001 Email us at: support.india@samsung.com Tel (Toll Free): 1800 40 7267864",India,232 g,B0CS5XW6TN,"4.4
2,971 ratings
4.4 out of 5 stars","#7 in Electronics (See Top 100 in Electronics)
#5 in Smartphones",1 July 2025,"Samsung India Electronics Pvt. Ltd., 6th Floor, DLF Centre, Sansad Marg, New Delhi – 110001 Email us at: support.india@samsung.com Tel (Toll Free): 1800 40 7267864","Samsung India Electronics Pvt. Ltd., 6th Floor, DLF Centre, Sansad Marg, New Delhi – 110001 Email us at: support.india@samsung.com Tel (Toll Free): 1800 40 7267864",9 x 79 x 162 Millimeters,1 Count,Smartphone,Samsung,Android 14,12 GB,Snapdragon 8 Gen3,3.39 GHz,,1 12V batteries required. (included),Cellular,USB Type C,,
21,"Samsung Galaxy M56 5G (Black, 8 GB RAM, 128 GB Storage)| Slimmest Phone in The Segment| Gorilla Glass Victus+| 10 Bit HDR Video| Enhanced Nightography| 4nm Processor| AI | Vapor Cooling Chamber",429 ratings,"₹27,999",-10%,"₹30,999",Visit the Samsung Store,4.2,400+ bought in past month,Inclusive of all taxes,"Bank Offer
Flat INR 3000 Instant Discount on ALL Banks Card Txn. M…
1 offer
No Cost EMI
Upto ₹3,252.13 EMI interest savings on select Credit Cards…
2 offers
Cashback
Upto ₹839.00 cashback as Amazon Pay Balance when…
1 offer",,"['Monster design - Slimmest Phone of the segment with just 7.2 mm sleek with Glass Back and Metal Camera Deco, Premium Design with Bold and Balanced colors', 'Monster durability - Corning Gorilla Glass Victus+ Protection on both Front and Back side, 4x Better Scratch Resistance, 2.0 m Fall Endurance. It is as tough as it is sleek.', 'Monster camera - 12 MP Front HDR Camera with Flagship grade sensor and 10Bit HDR Video capturing a wide range of colors for stunningly rich and true-to life visuals. 50MP Main Wide Angle Camera + 8MP Ultra Wide Angle Camera + 2MP Macro Angle Camera. Video recording: 4k at 30FPS with 10 Bit Video HDR. Enhanced Nightography with Low Noise Mode, Big Pixel and AI ISP. 2x Zoom Portraits for Monster Portraits. AI powered editing with Object eraser.', 'Monster display - Brightest and most Immersive Display Ever in M Series - Super AMOLED+ Display with Vision Booster, 1200 Nits High Brightness Mode, 36% Slimmer Bezels', 'Monster performance - Powerful 4nm Exynos 1480 Processor with 5000 mAh Battery , Flagship grade Vapour Cooling Chamber and LPDDR5X memory and UFS 3.1 storage. Latest Android 15 Operating System having One UI 7.0 platform. 6 years of OS and Security Upgrades, Tap and Pay with Samsung Wallet, Knox Security. AI Powered Circle to Search with Google - Monster Circles it, Monster Finds it. Circle to search images, text and songs and take your search experience to the next level.']",Android 15.0,0.72 x 7.73 x 16.2 cm; 180 g,SM-M566B,"Bluetooth, USB, Wi-Fi",True,"Built-In GPS, Dual SIM, Fast Charging Support, Mobile Hotspot Capability, Stereo Speakers",Wireless,Touchscreen,2340 x 1080,"Front, Rear",Bar,Black,5000 Milliamp Hours,"Data Cable (C to C), Quick Start Guide, SIM Ejection PIN, Smartphone","Samsung, Samsung India Electronics Pvt. Ltd. having its Registered Office at: 6th Floor, DLF Centre, Sansad Marg, New Delhi – 110001 Email us at: support.india@samsung.com",India,180 g,B0F43WXC8K,"4.2
429 ratings
4.2 out of 5 stars","#2,738 in Electronics (See Top 100 in Electronics)
#241 in Smartphones",22 April 2025,"Samsung India Electronics Pvt. Ltd. having its Registered Office at: 6th Floor, DLF Centre, Sansad Marg, New Delhi – 110001 Email us at: support.india@samsung.com","Samsung India Electronics Pvt. Ltd. having its Registered Office at: 6th Floor, DLF Centre, Sansad Marg, New Delhi – 110001 Email us at: support.india@samsung.com",7 x 77 x 162 Millimeters,1 Count,Smartphone,Samsung,Android 15.0,8 GB,Others,2.75 GHz,,,,,,
22,"Samsung Galaxy M06 5G (Sage Green, 4GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Bands| 25W Fast Charging | 4 Gen of OS Upgrades | Without Charger","2,456 ratings","₹9,499",-32%,"₹13,999",Visit the Samsung Store,3.8,5K+ bought in past month,Inclusive of all taxes,"Cashback
Upto ₹284.00 cashback as Amazon Pay Balance when…
1 offer
No Cost EMI
Upto ₹427.71 EMI interest savings on Amazon Pay ICICI…
1 offer
Partner Offers
Get GST invoice and save up to 28% on business purchases.
1 offer","4GB RAM, 64GB Storage
₹8,499.00
₹12,499.00
4GB RAM, 128 GB Storage
₹9,499.00
₹13,999.00
6GB RAM, 128 GB Storage
₹10,999.00
₹15,499.00","[""Monster processor - Segment's Leading MediaTek Dimensity 6300, AnTuTu score 422K+, Latest Android 15 Operating System having One UI 7.0 platform, 2.4GHz, 2GHz Clock Speed with Octa-Core Processor, Upto 6 GB of RAM"", 'Monster 5G experience - Complete 5G experience with 12 5G Bands (among the highest in the segment), All Network Support, Faster Download and Upload Speed', 'Monster design, camera and display - Refreshing design with new Linear camera deco, Slimmer with just 8.0 mm thickness, 50MP (F1.8) Main Wide Angle Camera + 2MP Depth Camera, 8MP (F2.0) Selfie Camera | Video Maximum Resolution of FHD (1920 x 1080) at 30fps', ""Monster security and OS upgrades - Knox Security with segment's leading 4 Generations of Android OS Upgrades and 4 Years of Security Updates to keep your phone updated with all latest software developments. Come with Android 14 Operating System having One UI 6 platform."", 'Monster battery - Get a massive 5000mAh Lithium-ion Battery (Non-Removable) with Segment leading Fast Charging 25W Support. Get more power in less time.']",Android 15.0,0.8 x 7.74 x 16.74 cm; 191 g,SM-M066B,"Bluetooth, USB, Wi-Fi",True,"Built-In GPS, Dual SIM, Expandable Memory, Mobile Hotspot Capability, Stereo Speakers",Wireless,Touchscreen,720 x 1600,"Front, Rear",Bar,Sage Green,5000 Milliamp Hours,"Data Cable (C to C), Quick Start Guide, SIM Ejection PIN, Smartphone","Dixon Technologies (India) Ltd., Plot No. 6, Sector-90, Noida, Gautam Buddha Nagar, U.P. India-201305, Samsung",India,191 g,B0DX6P3RX9,"3.8
2,456 ratings
3.8 out of 5 stars","#150 in Electronics (See Top 100 in Electronics)
#38 in Smartphones",7 March 2025,"Samsung India Electronics Pvt. Ltd. having its Registered Office at: 6th Floor, DLF Centre, Sansad Marg, New Delhi-110001","Samsung India Electronics Pvt. Ltd. having its Registered Office at: 6th Floor, DLF Centre, Sansad Marg, New Delhi-110001",8 x 77 x 167 Millimeters,1 Count,Smartphone,Samsung,Android 15.0,4 GB,Others,2.4 GHz,,,,3.5 mm,,
23,"Samsung Galaxy A55 5G (Awesome Iceblue, 12GB RAM, 256GB Storage) | AI | Metal Frame | 50 MP Main Camera (OIS) | Super HDR Video| Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED Display","2,248 ratings","₹31,999",-35%,"₹48,999",Visit the Samsung Store,4.2,500+ bought in past month,Inclusive of all taxes,"No Cost EMI
Upto ₹2,511.47 EMI interest savings on select Credit Cards…
3 offers
Cashback
Upto ₹959.00 cashback as Amazon Pay Balance when…
1 offer
Partner Offers
Get GST invoice and save up to 28% on business purchases.
1 offer","8GB + 128GB
8GB + 256GB
12GB + 256GB","['Design - Experience cinematic scenes with stunning 6.6” FHD+ Super AMOLED display with Vision Booster, 16M Colors and 120Hz Refresh Rate. Premium metal frame. Key-island design for intuitive grip.', 'AI Enhancements - Circle to search - Music, Image or text. Enhance your photos with Camera enhanced by AI and Intelligent visual editing - Object eraser. Image remaster. AI edit suggestions.', 'Battery - Do more with long-lasting and massive 5000 mAh battery with 25W fast charging support. Last up to 2 days on a single charge with 28 hours Video playback time.', 'Built to last - Corning Gorilla Glass Victus+ on both front and back. IP67 rated water and dust resistance. Powerful Exynos 1480 processor for fast, flawless mobile experiences. Larger Vapor Chamber for heat control.', 'Exclusive Features - Future-ready with segment best 4x OS upgrades. Defense grade security with Samsung Knox. Hassle free payments with Tap and Pay on Samsung Wallet. Seamless experience with OneUI.']",Android 14,0.82 x 7.74 x 16.11 cm; 213 g,SM-A556E,"Bluetooth, NFC, USB, Wi-Fi",True,"Always On Display, Built-In GPS, Dual SIM, Fast Charging Support, Mobile Hotspot Capability",Wireless,Touchscreen,FHD+ 2340 x 1080,"Front, Rear",Bar,Awesome Iceblue,5000 Milliamp Hours,"Data Cable (Type C-to-C), Quick Start Guide, SIM Tray Ejector, Smartphone","Samsung, Samsung India Electronics Pvt. Ltd. having its Registered Office at: 6th Floor, DLF Centre, Sansad Marg, New Delhi – 110001 Email us at: support.india@samsung.com Tel (Toll Free): 1800 40 7267864",India,213 g,B0CWPDFBK7,"4.2
2,248 ratings
4.2 out of 5 stars","#1,698 in Electronics (See Top 100 in Electronics)
#182 in Smartphones",17 May 2025,"Samsung India Electronics Pvt. Ltd. having its Registered Office at: 6th Floor, DLF Centre, Sansad Marg, New Delhi – 110001 Email us at: support.india@samsung.com Tel (Toll Free): 1800 40 7267864","Samsung India Electronics Pvt. Ltd. having its Registered Office at: 6th Floor, DLF Centre, Sansad Marg, New Delhi – 110001 Email us at: support.india@samsung.com Tel (Toll Free): 1800 40 7267864",8 x 77 x 161 Millimeters,1 Count,Smartphone,Samsung,Android 14,12 GB,Others,2.75 GHz,,,"Bluetooth, Wi-Fi",USB Type C,37 Hours,
24,"Samsung Galaxy A56 5G (Awesome Graphite, 12GB, 256GB) | Metal Frame | Gemini Live | Awesome Intelligence (AI): Circle to Search, Instant Slo-Mo, Auto-Trim, Object Eraser | Flagship Grade Camera",285 ratings,"₹44,999",-15%,"₹52,999",Visit the Samsung Store,4.2,200+ bought in past month,Inclusive of all taxes,"Bank Offer
Upto ₹4,000.00 discount on HDFC Bank Credit Cards
1 offer
No Cost EMI
Upto ₹4,518.19 EMI interest savings on select Credit Cards…
3 offers
Cashback
Upto ₹1,349.00 cashback as Amazon Pay Balance when…
1 offer","8GB + 128GB
8GB RAM + 128GB Storage
8GB + 256GB
8GB RAM + 256GB Storage
12GB + 256GB
12GB RAM + 256GB Storage","['Design - Slimmest ever A Series (7.4 mm) phone with metal frame. 6.7” FHD+ sAMOLED display with Vision Booster. Corning Gorilla Glass Victus+ on both front and back. IP67 rated water and dust resistance.', 'Awesome Intelligence - Personal AI assistant - Gemini Live. Hassle-free search - Circle to Search - music and image. Intelligent visual editing - Auto Trim, Instant Slo-mo. Object Eraser, Best Face and Custom Filter.', 'Camera - Flagship grade Nightography with Low Noise Sensor with HDR recording capability on both front and rear camera. 50MP main camera with OIS, 12MP ultra wide and 5MP macro lens.', 'Performance - Exceptional performance with upgraded 4nm Exynos 1580 processor and a 15% larger Vapor cooling chamber. Long-lasting battery - 29 hours Video playback and 88 hours music playback', 'Exclusive Features - Future-ready with segment best 6x OS upgrades. Defense grade security with Samsung Knox. Hassle free payments with Tap and Pay on Samsung Wallet. Seamless experience with OneUI.']",Android 15.0,0.74 x 7.74 x 16.21 cm; 196 g,SM-A566E,"Bluetooth, USB, Wi-Fi",True,"Built-In GPS, Dual SIM, Fast Charging Support, Mobile Hotspot Capability, Stereo Speakers",Wireless,Touchscreen,2340 x 1080,"Front, Rear",Bar,Awesome Graphite,5000 Milliamp Hours,"Data Cable (C to C), Quick Start Guide, SIM Ejection PIN, Smartphone","Samsung, Samsung India Electronics Pvt. Ltd. having its Registered Office at: 6th Floor, DLF Centre, Sansad Marg, New Delhi – 110001 Email us at: support.india@samsung.com",India,196 g,B0DYDP8ZZK,"4.2
285 ratings
4.2 out of 5 stars","#6,757 in Electronics (See Top 100 in Electronics)
#459 in Smartphones",8 March 2025,"Samsung India Electronics Pvt. Ltd. having its Registered Office at: 6th Floor, DLF Centre, Sansad Marg, New Delhi – 110001 Email us at: support.india@samsung.com","Samsung India Electronics Pvt. Ltd. having its Registered Office at: 6th Floor, DLF Centre, Sansad Marg, New Delhi – 110001 Email us at: support.india@samsung.com",7 x 77 x 162 Millimeters,1 Count,Smartphone,Samsung,Android 15.0,12 GB,Others,2.9 GHz,,,,Usb Type C,34 Hours,
25,"Samsung Galaxy S24 FE 5G AI Smartphone (Mint, 8GB RAM, 128GB Storage)",340 ratings,"₹34,611",-42%,"₹59,999",Visit the Samsung Store,4.4,1K+ bought in past month,Inclusive of all taxes,"Cashback
Upto ₹1,038.00 cashback as Amazon Pay Balance when…
1 offer
No Cost EMI
Upto ₹1,558.49 EMI interest savings on Amazon Pay ICICI…
1 offer
Partner Offers
Get GST invoice and save up to 28% on business purchases.
1 offer",,"[""Experience life boosting AI with Galaxy AI's quick and clever assistance"", 'Large 6.7"" FHD+ Dynamic AMOLED 2X display for an immersive viewing experience', 'Capture stunning low-light portraits with powerful 50MP camera with ProVisual Engine', ""With Galaxy AI's Photo Assist, transform images into stunning works of art"", 'Enjoy hyper-realistic gaming experience with enhanced vapour chamber and up to 28 hours of video playback with massive 4700 mAh battery']",Android 14,0.8 x 7.73 x 16.2 cm; 213 g,SM-S721B,"Bluetooth, NFC, USB, Wi-Fi",True,"Built-In GPS, Dual SIM, Fast Charging Support, Mobile Hotspot Capability, Stereo Speakers",Wireless,Touchscreen,2340 x 1080,"Front, Rear",Bar,Mint,4700 Milliamp Hours,"Data Cable (Type C-to-C), Quick Start Guide, SIM Tray Ejector, Smartphone","Samsung, Samsung India Electronics Pvt. Ltd., 6th Floor, DLF Centre, Sansad Marg, New Delhi – 110001 Email us at: support.india@samsung.com Tel (Toll Free): 1800 40 7267864",India,213 g,B0DHL85K81,"4.4
340 ratings
4.4 out of 5 stars","#583 in Electronics (See Top 100 in Electronics)
#86 in Smartphones",20 September 2024,"Samsung India Electronics Pvt. Ltd., 6th Floor, DLF Centre, Sansad Marg, New Delhi – 110001 Email us at: support.india@samsung.com Tel (Toll Free): 1800 40 7267864","Samsung India Electronics Pvt. Ltd., 6th Floor, DLF Centre, Sansad Marg, New Delhi – 110001 Email us at: support.india@samsung.com Tel (Toll Free): 1800 40 7267864",8 x 77 x 162 Millimeters,1 Count,Smartphones,Samsung,Android 14,8 GB,Snapdragon,3.1 GHz,,1 Lithium Ion batteries required. (included),,,37.52 Hours,
26,"Samsung Galaxy S24 FE 5G AI Smartphone (Blue, 8GB RAM, 128GB Storage)",379 ratings,"₹34,611",-42%,"₹59,999",Visit the Samsung Store,4.3,1K+ bought in past month,Inclusive of all taxes,"Cashback
Upto ₹1,038.00 cashback as Amazon Pay Balance when…
1 offer
No Cost EMI
Upto ₹1,558.49 EMI interest savings on Amazon Pay ICICI…
1 offer
Partner Offers
Get GST invoice and save up to 28% on business purchases.
1 offer",,"[""Experience life boosting AI with Galaxy AI's quick and clever assistance"", 'Large 6.7"" FHD+ Dynamic AMOLED 2X display for an immersive viewing experience', 'Capture stunning low-light portraits with powerful 50MP camera with ProVisual Engine', ""With Galaxy AI's Photo Assist, transform images into stunning works of art"", 'Enjoy hyper-realistic gaming experience with enhanced vapour chamber and up to 28 hours of video playback with massive 4700 mAh battery']",Android 14,0.8 x 7.73 x 16.2 cm; 213 g,SM-S721B,"Bluetooth, NFC, USB, Wi-Fi",True,"Built-In GPS, Dual SIM, Fast Charging Support, Mobile Hotspot Capability, Stereo Speakers",Wireless,Touchscreen,2340 x 1080,"Front, Rear",Bar,Blue,4700 Milliamp Hours,"Data Cable (Type C-to-C), Quick Start Guide, SIM Tray Ejector, Smartphone","Samsung, Samsung India Electronics Pvt. Ltd., 6th Floor, DLF Centre, Sansad Marg, New Delhi – 110001 Email us at: support.india@samsung.com Tel (Toll Free): 1800 40 7267864",,213 g,B0DHL98QM2,"4.3
379 ratings
4.3 out of 5 stars","#1,000 in Electronics (See Top 100 in Electronics)
#130 in Smartphones",20 September 2024,"Samsung India Electronics Pvt. Ltd., 6th Floor, DLF Centre, Sansad Marg, New Delhi – 110001 Email us at: support.india@samsung.com Tel (Toll Free): 1800 40 7267864","Samsung India Electronics Pvt. Ltd., 6th Floor, DLF Centre, Sansad Marg, New Delhi – 110001 Email us at: support.india@samsung.com Tel (Toll Free): 1800 40 7267864",8 x 77 x 162 Millimeters,1 Count,Smartphones,Samsung,Android 14,8 GB,Snapdragon,3.1 GHz,,1 AAA batteries required. (included),,,37.52 Hours,
27,"Redmi A4 5G (Starry Black, 4GB RAM, 128GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging","6,090 ratings","₹8,798",-27%,"₹11,999",Visit the Redmi Store,3.9,5K+ bought in past month,Inclusive of all taxes,"Cashback
Upto ₹263.00 cashback as Amazon Pay Balance when…
1 offer
No Cost EMI
Upto ₹396.18 EMI interest savings on Amazon Pay ICICI…
1 offer","4GB+64GB
4GB+128GB
6GB+128GB","['High performance - Snapdragon 4s Gen 2 5G Processor | Large 17.47cm 120Hz Display | Upto 8GB RAM including 4GB Virtual RAM |128GB Storage | Fast Side fingerprint sensor', 'Display: Large 17.47 cm 120Hz Refresh Rate display | 600nits peak brightness | 240Hz Touch sampling Rate | TUV triple certified eye care protection', 'Camera: 50MP Dual camera | 5MP Front camera', '5160mAh(typ) battery with 18W fast charging support and 33W charger in-box with USB Type-C', 'Expandable Storage to upto 1TB with Dedicated MicroSD card Slot | 3.5mm headphone jack | Android 14 | Side fingerprint sensor']",Android 14,17.2 x 7.8 x 0.8 cm; 212 g,Redmi A4 5G,"Bluetooth, USB, Wi-Fi",True,"50MP Dual camera, f/1.8, Portrait | Video | HDR | Short Video | Time-Lapse | Film filters, Dedicated MicroSD card slot with upto 1TB support, Side Fingerprint sensor for enhanced security",Wireless,Touchscreen,720 x 1640,"Front, Rear",Bar,Starry Black,5160,"Power Adapter, SIM Tray Ejector, USB Cable","BYD INDIA PRIVATE LIMITED, DEVELOPED PLOT NO.OZ-7,SIPCOT ORAGADAM, SRIPERUMBUDUR (TK) KANCHEEPURAM DISTRICT 602105 TAMIL NADU., Redmi",India,212 g,B0DLW4QD72,"3.9
6,090 ratings
3.9 out of 5 stars","#104 in Electronics (See Top 100 in Electronics)
#26 in Smartphones",25 November 2024,"BYD INDIA PRIVATE LIMITED, DEVELOPED PLOT NO.OZ-7,SIPCOT ORAGADAM, SRIPERUMBUDUR (TK) KANCHEEPURAM DISTRICT 602105 TAMIL NADU.","Xiaomi Technology India Private Limited, Building Orchid. Block E, Embassy Tech Village, Marathahalli Outer Ring Road, Devarabisanahalli, Bengaluru 560103",17.2 x 7.8 x 0.8 Centimeters,212.35 Grams,Smartphones,Redmi,Android 14,4 GB,Snapdragon,2 GHz,,1 Lithium Polymer batteries required. (included),,3.5 mm,,
28,"Redmi 14C 5G (Stargaze Black, 6GB RAM, 128GB Storage) | Superfast 4nm Snapdragon 4 Gen 2 | 120Hz 17.47cm (6.88”) Display | 5160mAh Battery | 50MP Dual Camera | Premium Starlight Design","1,507 ratings","₹11,498",-23%,"₹14,999",Visit the Redmi Store,4.0,2K+ bought in past month,Inclusive of all taxes,"Cashback
Upto ₹344.00 cashback as Amazon Pay Balance when…
1 offer
No Cost EMI
Upto ₹642.01 EMI interest savings on select Credit Cards…
2 offers","4GB+64GB
4GB+128GB
6GB+128GB","['High performance - Snapdragon 4 Gen 2 5G Processor | Large 17.47cm 120Hz Display | Upto 8GB RAM including 4GB Virtual RAM |128GB Storage | Fast Side fingerprint sensor', 'Display: Large 17.47 cm 120Hz Refresh Rate display | 600nits peak brightness | 240Hz Touch sampling Rate | TUV triple certified eye care protection', 'Camera: 50MP Dual camera | 5MP Front camera', '5160mAh(typ) battery with 18W fast charging support and 33W charger in-box with USB Type-C', 'Expandable Storage to upto 1TB with Dedicated MicroSD card Slot | 3.5mm headphone jack | Android 14 | Side fingerprint sensor']",Android 14,17.2 x 7.8 x 0.8 cm; 205 g,,"Bluetooth, USB, Wi-Fi",True,"50MP Dual camera, f/1.8, Portrait | Video | HDR | Short Video | Time-Lapse | Film filters, Dedicated MicroSD card slot with upto 1TB support, Side Fingerprint sensor for enhanced security",Wireless,,720 x 1640,,Bar,Stargaze Black,5160,Power Adapter,"Plot no A-14, Sector 68 Noida, Dist Gautam Buddha Nagar, Uttar Pradesh 201301, Redmi",India,205 g,B0DQV6PQ8M,"4.0
1,507 ratings
4.0 out of 5 stars","#477 in Electronics (See Top 100 in Electronics)
#78 in Smartphones",9 January 2025,"Plot no A-14, Sector 68 Noida, Dist Gautam Buddha Nagar, Uttar Pradesh 201301",,17.2 x 7.8 x 0.8 Centimeters,205 Grams,Smartphones,Redmi,Android 14,6 GB,,"1.95, 2.2 GHz",,1 12V batteries required. (included),,3.5 mm,,128 GB
29,"Lava Storm Lite 5G (Cosmic Titanium, 4+4*GB RAM, 64GB Storage) | India's First MTK Dimensity 6400 Processor | 50MP AI Camera | IP64 Rated | 120 Hz Display | 5000 mAh Battery | Supports All 5G Bands",290 ratings,"₹8,499",-23%,"₹10,999",Visit the Lava Store,4.0,200+ bought in past month,Inclusive of all taxes,"Cashback
Upto ₹254.00 cashback as Amazon Pay Balance when…
1 offer
Bank Offer
Upto ₹1,500.00 discount on select Credit Cards, Debit…
35 offers
No Cost EMI
Upto ₹382.70 EMI interest savings on Amazon Pay ICICI…
1 offer","4GB RAM + 64GB Storage
4GB RAM + 128GB Storage","['Powerful Performance with Dimensity 6400: Experience blazing speed and efficiency with the segment-first MediaTek Dimensity 6400 processor, backed by a robust 420,000+ AnTuTu score.', 'Stunning Visuals on a 120Hz HD+ Display: Enjoy ultra-smooth scrolling and immersive viewing on a 6.745"" HD+ display with a 120Hz refresh rate for enhanced responsiveness.', 'Capture Every Detail with 50MP Camera: Take stunning photos with the high-resolution 50MP rear camera, complemented by a 5MP front camera for clear selfies and video calls.', 'Long-Lasting Battery with Fast Charging: Stay powered all day with a massive 5000mAh battery, and recharge quickly using the 18W fast charger for uninterrupted usage.', 'Secure and Convenient Side Fingerprint Unlock: Unlock your phone quickly and securely with the side-mounted fingerprint sensor, offering easy access and added protection at your fingertips.']","Android 15, android 15",16.49 x 7.61 x 0.88 cm; 195 g,,"Bluetooth, USB, Wi-Fi",True,"Dual SIM, Expandable Memory, Mobile Hotspot Capability",Wireless,"Microphone, Touchscreen",1600 x 720,"Front, Rear",Bar,Cosmic Titanium,5000,"Phone Case, Power Adapter, SIM Tray Ejector, USB Cable","Lava, Lava International Ltd.",India,195 g,B0FB437XS2,"4.0
290 ratings
4.0 out of 5 stars","#21,445 in Electronics (See Top 100 in Electronics)
#879 in Smartphones",19 June 2025,Lava International,Lava International,16.5 x 7.6 x 0.9 Centimeters,1 Count,SmartPhone,Lava,"Android 15, android 15",4 GB,Others,,,1 Lithium Polymer batteries required. (included),,3.5 mm,,64 GB
